name,longitude,latitude,tiploc,station
Melton Jn,-0.88978594,52.760858999999996,MLTNJN,False
Melton Mowbray Petfoods,-0.88705066,52.761193000000006,MLTNMPS,False
Melton Mowbray Up Loop,-0.88059114,52.761123,MLTNMUL,False
Rearsby LC,-1.0361814,52.730162,MLTNRBY,False
Melton Mowbray Shunt SIG 3,-0.88592923,52.761003,MLTNS3,False
Saxby,-0.7976455,52.764915,MLTNSAX,False
Melton Mowbray,-0.88592923,52.761003,MLTNSDG,True
Whissendine,-0.76163025,52.74037,MLTNWHI,False
Malvern Link,-2.3195124,52.125592,MLVRNLK,True
Malvern Wells,-2.3242087000000002,52.094418,MLVRNWL,False
Malvern Wells Loop,-2.3223751,52.097219,MLVRWLP,False
Milverton Jn,-1.554784,52.293209000000004,MLVTJN,False
Martin Mill,1.3480911,51.170716,MMIL,True
Royston Monckton C.C.C.,-1.444776,53.610475,MNCKCCC,False
Tarmac Sdgs (Man Airport),-2.2504588,53.36340799999999,MNCRATS,False
Deansgate,-2.2511256,53.474074,MNCRDGT,True
Dean Lane R.T.S. (FLHH),-2.1838509999999998,53.504208999999996,MNCRDLF,False
Dean Lane,-2.1838509999999998,53.504208999999996,MNCRDLN,False
Deal Street,-2.2534294999999998,53.483975,MNCRDST,False
Manchester Airport,-2.2709674,53.365287,MNCRIAP,True
Liverpool Road Manchester,-2.2596907,53.477786,MNCRLIR,False
Manchester Oxford Road,-2.2421444999999998,53.473751,MNCROXR,True
Manchester Picc Ballast,-2.2301094,53.477002,MNCRPIB,False
Manchester Piccadilly,-2.2301094,53.477002,MNCRPIC,True
Dean Lane Quick Mix,-2.1875122000000005,53.503673,MNCRQMX,False
Dean Lane R.T Sdgs.,-2.1791955,53.504962,MNCRRTS,False
Manchester Utd Football Gd,-2.2906682999999997,53.462254,MNCRUFG,True
Manchester Victoria East Jn,-2.2405571,53.488756,MNCRVEJ,False
Manchester Victoria,-2.2412763,53.488018000000004,MNCRVIC,True
Manchester Vic. (Rev.Sdg),-2.2472185000000002,53.48614499999999,MNCRVRS,False
Manchester Victoria West Jn,-2.2515673,53.485048,MNCRVWJ,False
Monk Bretton Loop,-1.4315924999999998,53.582584999999995,MNKBLP,False
Monk Bretton Redfearns,-1.4383934999999999,53.572028,MNKBRRF,False
Monk Bretton Redfearns GBRF,,,MNKBRRG,False
Monks Risborough,-0.82930172,51.735877,MNKRISB,True
Monktonhall Colliery,-3.0804657000000004,55.911080000000005,MNKTNCL,False
Monktonhall Jn,-3.0544569,55.92889,MNKTNHJ,False
Monument Lane,-1.9185314999999998,52.480222,MNMNTLA,False
Monmore Green,-2.1077373,52.576437,MNMRGRN,False
Manorbier,-4.7925231,51.660140000000006,MNORBER,True
Manor Road,-3.1704002,53.394785999999996,MNRD,True
Manor Powis,-3.843843,56.126144,MNRPWIS,False
Montbeliard,4.3359879999999995,50.835056,MNTBLRD,False
Mountfield Sidings (GBRF),0.46679319,50.952245,MNTFGBR,False
Mountfield Sidings,0.46677897,50.952245,MNTFLDS,False
Mountfield Tunnel,0.46495797,50.955503,MNTFLDT,False
Mount Gould Carriage Wash,-4.1091558,50.376876,MNTGLCW,False
Mount Gould Jn,-4.1081091,50.377696,MNTGLDJ,False
Mantle Lane TC GBR,,,MNTLGBR,False
Mantle Lane T.C.,-1.3757576999999999,52.73016,MNTLLAS,False
Mantle Lane SB (ML),-1.3757576999999999,52.73016,MNTLSB,False
Mountnessing Jn,0.3515914,51.640226,MNTNJN,False
Mount Vernon,-4.1332457,55.84034200000001,MNTVRNN,True
Manton Colliery Siding,-1.0781221,53.300211,MNTWCJN,False
Mobberley,-2.3336661,53.329218999999995,MOBERLY,True
Morchard Road,-3.7760580999999998,50.83165,MOCHARD,True
Modane,4.3361095,50.83595,MODANE,False
Moira West Jn,-1.5551246,52.745431999999994,MOIRAWJ,False
Moira Hicks Lodge FHH,-1.5188531,52.73808100000001,MOIRFHH,False
Gresley,-1.5810698,52.757096999999995,MOIRGRE,False
Moira Hicks Lodge GF,-1.5188678999999998,52.73808100000001,MOIRHGF,False
Moira Hicks Lodge,-1.5188531,52.73808100000001,MOIRHIC,False
Swains Park Opencast Disposal Po,-1.5501605,52.74270799999999,MOIRSPK,False
Mold Junction,-2.9501351000000002,53.180789000000004,MOLDJ,False
Molewood Junction,-0.098459473,51.828161,MOLEJN,False
Monchengladbach,,,MONCHEN,False
Monifieth,-2.8175444,56.479881999999996,MONIFTH,True
Montpelier,-2.5881093999999996,51.468323,MONPELR,True
Montrose EWS,-2.4719136,56.711718999999995,MONTEWS,False
Montrose,-2.4722063999999997,56.712922,MONTRSE,True
Montrose South,-2.4737664,56.709672999999995,MONTRSS,False
Pinner,-0.35200294,51.581218,MOORPIN,False
Moor Park,-0.43189768,51.629205999999996,MOORPK,False
Morar,-5.8220974000000005,56.968903000000005,MORAR,True
Morecambe,-2.8686354,54.07030400000001,MORCAME,True
Morecambe Jn G.F.,-2.8638517000000006,54.070276,MORCJGF,False
Morecambe South Jn,-2.8207636000000003,54.07520600000001,MORCMSJ,False
Morden South,-0.19942354,51.39597,MORDENS,True
Moreton (Dorset),-2.3143145,50.701198,MORETON,True
Moorfields LL/WL,-2.9891748,53.408651,MORFLDS,True
Moorfields HL/NL,-2.9903429,53.408425,MORFNL,False
Morlais Jn,-4.069118899999999,51.698736,MORLASJ,False
Morlaois Colly,-4.0654764,51.701372,MORLSCL,False
Morris Cowley,-1.1949305000000001,51.729409999999994,MORRISC,False
Morris Cowley M.A.T.,-1.1898594,51.731219,MORRMAT,False
Moorthorpe Signal L6586,,,MORT586,False
Moorthorpe Goods Loop,-1.3039333,53.592318999999996,MORTHGL,False
Moorthorpe,-1.3048568,53.594967000000004,MORTHRP,True
Mossend Delta Coal,-3.9972407999999997,55.820887,MOSEDCE,False
Mossend Down Sidings FLHH,-4.0002193,55.825421999999996,MOSEDFH,False
Mossend Down Goods Loop,-3.9968752,55.82060500000001,MOSEDGL,False
Mossend Down Yard,-4.0002193,55.825421999999996,MOSEDNY,False
Mossend Yard (DRS),-4.000218299999999,55.825404000000006,MOSEDRS,False
Mossend Yard LHS (DBS),,,MOSELDB,False
Mossend Loco Holding Sdgs,-3.9976943999999994,55.824753,MOSELHS,False
Mossend East Jn,-3.9874483,55.816992000000006,MOSENDE,False
Mossend North Jn,-3.9963928,55.821161,MOSENDN,False
Mossend South Jn,-3.9946191,55.814576,MOSENDS,False
Mossend West Jn,-4.0046641,55.817791,MOSENDW,False
Mossend North Exit,-3.9980341,55.824217000000004,MOSENXT,False
Mossend,-3.9980341,55.824217000000004,MOSENY,False
Mossend PD Sterling GBRf,-4.0002072,55.828918,MOSEPDS,False
Mossend Shunt & Marshalling,-4.0018502,55.832306,MOSESTR,False
MOSEEND TMD,,,MOSETMD,False
MOSSEND UP RECEPTION FLHH,-3.9976317999999997,55.824466,MOSEUFH,False
Mossend West 1 Repair Point,-3.9982413999999995,55.825768999999994,MOSEUHS,False
Mossend Up Yard,-3.9976317999999997,55.824466,MOSEUPY,False
Mossend Euroterminal,-3.9987398,55.827082,MOSEURT,False
Mossley (Grtr Manchester),-2.0415080000000003,53.514887,MOSSLEY,True
Mostyn Docks (FLiner),-3.2673745,53.31896,MOSTFLR,False
Mostyn Sig. MN15,-3.2703377000000002,53.319154000000005,MOSTN15,False
Mostyn Sig. MN21,-3.2741397,53.320291000000005,MOSTN21,False
Mostyn Signal Box,-3.2718687,53.31965,MOSTSB,False
Mostyn Docks (EWS),-3.2674804,53.318985999999995,MOSTYN,False
Mottisfont & Dunbridge,-1.546772,51.033823999999996,MOTFONT,True
Motherwell Signal M185,-3.9950535000000005,55.791877,MOTH185,False
Motherwell Signal M267,-3.9950535000000005,55.791877,MOTH267,False
Mothwell Sig M368,-3.9934230000000004,55.807729,MOTH368,False
Motherwell Sig M372,-3.9950535000000005,55.791877,MOTH372,False
Motherwell SIG 374,-3.9937457000000003,55.802493000000005,MOTH374,False
Motherwell Sig M402,-3.9974646000000003,55.794417,MOTH402,False
Motherwell Sig.M408,-3.9937152,55.789722999999995,MOTH408,False
Motherwell Back of Shops,-3.9950535000000005,55.791877,MOTHBOS,False
Motherwell Bridge Sidings,-4.0023800000000005,55.79911800000001,MOTHBRS,False
Motherwell LWR ISU (CE),-4.0001253,55.79310600000001,MOTHCE,False
Motherwell Derby C.S.,-3.9993102999999994,55.796813,MOTHDCS,False
Motherwell TMD (DRS),-3.9993102999999994,55.796813,MOTHDRS,False
Motherwell Findlays Sdg,-3.9959537000000003,55.798871999999996,MOTHFDL,False
Hamilton Goods Loop,-3.9950302000000004,55.791732999999994,MOTHHGL,False
Motherwell Repair Point (DRS),-3.9950535000000005,55.791877,MOTHRPT,False
Motherwell,-3.9950535000000005,55.791877,MOTHRWL,True
Mottherwell Station Goods Loop,-3.9941541,55.790822,MOTHSGL,False
Motherwell T.M.D.,-3.9958599,55.79984399999999,MOTHTMD,False
Motherwell Up Civil Eng,-3.9959697,55.798871999999996,MOTHUCE,False
Motherwell Weighs C.H.S.,-3.9950757000000006,55.791686999999996,MOTHWCS,False
Motherwell W.R.D.,-3.9975935,55.79818,MOTHWRD,False
Mottingham,0.049540359000000006,51.440315000000005,MOTNGHM,True
Moreton (Merseyside),-3.113443,53.407251,MOTO,True
Motspur Park Jn,-0.24205067,51.389082,MOTSPJN,False
Motspur Park,-0.23942192,51.395409,MOTSPRP,True
Moulton,1.1817474,52.462366,MOULTON,False
Mountsorrell GBRF,-1.1293792,52.744709,MOUNGBR,False
Mountsorrell Loco Srvcg Rd,-1.130847,52.745394,MOUNTSL,False
Mountsorrel Sdgs,-1.132652,52.745506000000006,MOUNTSS,False
Mouscron,4.3590739,50.891168,MOUSCRN,False
Moy,-4.0569783,57.383911,MOYY,False
Maryport,-3.4941053999999996,54.711317,MPRT,True
March,0.090976419,52.560202000000004,MRCH,True
March Down R.S. GBRF,0.09542296,52.558774,MRCHDRG,False
March East Jn,0.092681456,52.559757999999995,MRCHEJN,False
March West Jn,0.084376547,52.561029000000005,MRCHWJN,False
Margam Knuckle Yard (Colas),,,MRGKYRG,False
Margam Abbey Works East,-3.7463106,51.547812,MRGMAWE,False
Margam Abbey West Jn,-3.7463106,51.547812,MRGMAWJ,False
Margam ISU (CE),-3.746897,51.549565,MRGMCE,False
Margam East Jn,-3.7557315000000004,51.564738,MRGMEJ,False
Margam HOT Renewals Depot,-3.7427153,51.540159,MRGMHOD,False
Margam Moors,-3.7439449999999996,51.544789,MRGMM,False
Margam Middle Jn,-3.7439449999999996,51.544789,MRGMMID,False
Margam Moors Jn.,-3.7424144,51.541719,MRGMMJN,False
Margam Up Gds Sig PT33,-3.7431892999999996,51.543128,MRGMT33,False
Margam T.C.,-3.7488827000000007,51.550948,MRGMTC,False
Margam L.I.P.,-3.7435879,51.540729999999996,MRGMTMD,False
Margam Wagon Repair Dep.,-3.7461586000000002,51.53857,MRGMWRD,False
Margam Yard Jn.,-3.7587148999999997,51.568767,MRGMYJN,False
Moorgate (GN),-0.08899150900000001,51.518374,MRGT,True
Muirhouse Central Jn,-4.2700195999999995,55.839889,MRHSCJ,False
Muirhouse North Jn,-4.2667168,55.84214300000001,MRHSNJ,False
Muirhouse South Jn,-4.2740007,55.837497,MRHSSJ,False
MARKS TEY SIGNAL L872,-3.9410665000000003,58.258843999999996,MRKS872,False
Market Harborough CCE SDGS,-3.9410665000000003,58.258843999999996,MRKSDG,False
Marks Tey S&T Sidings,0.7844183000000001,51.881423999999996,MRKSSAT,False
Marks Tey Tarmac,0.78893643,51.882342,MRKSTAR,False
Marks Tey,0.78232682,51.880736,MRKSTEY,True
Marks Tey GBRF,0.78890685,51.882334,MRKSTGB,False
Marks Tey Up Loop,0.78782026,51.882153,MRKSTUL,False
Braybrook,-0.86046243,52.454005,MRKTBRY,False
East Langton,-0.9384979999999999,52.520253000000004,MRKTELN,False
Great Glen,-1.0418148999999999,52.560781000000006,MRKTGG,False
Market Harborough,-0.90915112,52.479898,MRKTHRB,True
Market Harborough Jn,-0.90915112,52.479898,MRKTHRJ,False
Moorland Road Junction,,,MRLDJN,False
Marsh Lane Jn Leeds,-1.524417,53.795793999999994,MRLNJN,False
Marsh Lane Tilcon,-1.5249284,53.796218999999994,MRLNTIL,False
Morley,-1.5917385,53.749556000000005,MRLY,True
Morpeth Barmoor Through Siding,-1.6754891,55.162912,MRPTBTS,False
Hepscott Jn,-1.6694080000000002,55.15993,MRPTHEP,False
Morpeth,-1.6821788,55.162507,MRPTHRP,True
Morpeth Reversing Siding,-1.6763984,55.16304,MRPTHRS,False
