
~@# File opened, Actual 05/06/2018 00:00:00 BST,  Log 05/06/2018 00:00:00 BST
~@#Come from file 20180604
730M721904,EALINGB,20180605000800,D,+0000 , ,  ,00000000000000,000831
827A91C804,THNGLYJ,20180605000800,D,-0006 ,U,  ,20180605001400,000845
815C941704,BRSTLTM,20180604213200,A,+0000 , ,  ,20180604213200,000848
815C941704,BRSTLTM,20180604224700,D,+0000 , ,  ,20180604224700,000848
815E321704,BRSTLTM,20180604215400,A,+0000 , ,  ,20180604215400,000848
815E321704,BRSTLTM,20180604215400,D,+0000 , ,  ,20180604215400,000848
815E321704,BRSTLTM,20180604220000,T,+0000 , ,  ,20180604220000,000848
346V91C804,LOGHBRO,20180605000800,D,-0025 ,U, 2,20180605003300,000851
573Q291Z04,WORCTJN,20180605000800,D,-0045 , ,  ,20180605005300,000851
835C891704,BRSTLTM,20180604223100,D,-0002 , ,  ,20180604223300,000907
835C891704,BRSTLTM,20180604224500,T,+0000 , ,  ,20180604224500,000907
815C941704,BRSTLTM,20180604231800,T,+0000 , ,  ,20180604231800,000907
815C961904,BRSTLTM,20180604234600,D,+0000 , ,  ,20180604234600,000914
732Y75M005,HTRWAPT,20180605001100,A,+0000 ,U, 2,20180605001100,000937
864M78C704,GORASTR,20180605000900,D,-0016 ,D, 3,20180605002530,000954
745J741005,RDNGTCD,20180605001100,T,-0024 ,D,  ,20180605003500,001001
827A91C804,THNGLEJ,20180605001000,D,-0006 ,U,  ,20180605001600,001006
735Y95M005,LDBRKJ,20180605000800,D,+0004 ,D,  ,20180605000400,001056
731Y96M904,LDBRKJ,20180605001100,D,+0002 ,U,R ,20180605000930,001116
516V301704,SLOUGH,20180605001200,A,-0002 , ,  ,20180605001430,001126
696Z031904,AYNHUGL,20180605001100,D,-0031 ,U,  ,20180605004200,001146
516V301704,SLOUGH,20180605001100,D,-0003 ,D, 4,20180605001430,001147
334O08CY04,DIDCTNJ,20180605001200,D,-0001 ,U,  ,20180605001300,001200
739P73M904,PADTON,20180605001400,T,+0005 ,U,11,20180605000900,001212
827A91C804,CHIPNHM,20180605001300,A,-0008 , ,  ,20180605002100,001215
596O27CZ04,HEYFORD,20180605001400,A,-0008 , ,  ,20180605002230,001238
732Y75M005,HTRWAPT,20180605001200,D,-0001 ,U, 2,20180605001300,001307
730M721904,ACWLJN,20180605001300,D,-0039 ,U,  ,20180605005230,001314
516V24C904,LEYTNMR,20180605001400,A,+0000 , ,  ,20180605001400,001337
864M79C804,GORASTR,20180605001500,A,-0015 , ,  ,20180605003000,001342
731Y96M904,PRTOBJP,20180605001400,D,+0003 ,U,  ,20180605001100,001401
827A91C804,CHIPNHM,20180605001200,D,-0009 ,U,  ,20180605002100,001413
731Y97M904,LDBRKJ,20180605001400,D,-0001 ,U,R ,20180605001500,001439
596O27CZ04,HEYFORD,20180605001300,D,-0009 ,U,  ,20180605002230,001444
737D23C904,DIDCOTP,20180605001500,A,-0003 , ,  ,20180605001830,001445
516V24C904,LEYTNMR,20180605001400,D,+0000 ,U,  ,20180605001400,001452
864E48C904,WRTINGJ,20180605001500,D,-0002 ,U,  ,20180605001700,001507
864M79C804,GORASTR,20180605001400,D,-0016 ,D, 3,20180605003000,001511
731Y96M904,ROYAOJN,20180605001500,D,+0002 ,U,  ,20180605001300,001527
334O08CY04,DIDCTEJ,20180605001500,D,-0004 ,U,  ,20180605001900,001532
732Y75M005,HTRWTJN,20180605001500,D,-0001 ,U,  ,20180605001600,001533
737D23C904,DIDCOTP,20180605001500,D,-0003 ,D, 3,20180605001830,001536
737D23C904,FOXHALJ,20180605001700,A,-0003 , ,  ,20180605002000,001619
796L64C804,PILNING,20180605001600,D,-0009 ,U,  ,20180605002530,001635
346V91C804,SILEBYJ,20180605001600,D,-0028 ,U,  ,20180605004400,001636
731Y97M904,PRTOBJP,20180605001700,D,+0001 ,U,  ,20180605001600,001702
664O63CZ04,BMLY,20180605001700,A,-0013 , ,  ,20180605003030,001703
216V58C904,LINCLNC,20180605001700,D,-0052 ,D,T ,20180605010900,001717
664O63CZ04,BMLY,20180605001600,D,-0014 ,D, 2,20180605003030,001758
731Y97M904,ROYAOJN,20180605001800,D,+0001 ,U,  ,20180605001700,001804
864E48C904,BSNGSTK,20180605001900,A,-0002 , ,  ,20180605002100,001808
696Z031904,HEYFORD,20180605002000,A,-0030 , ,  ,20180605005000,001818
516V301704,MDNHEAD,20180605001900,A,-0001 , ,  ,20180605002030,001839
826A20C704,SDON,20180605002000,A,+0080 , ,  ,20180604230000,001851
731Y97M904,PADTON,20180605002000,T,+0002 ,U, 7,20180605001800,001856
216V58C904,WHOLMSJ,20180605001900,D,-0051 ,D,  ,20180605011030,001900
864E48C904,BSNGSTK,20180605001900,D,-0002 ,U, 4,20180605002100,001922
041Z151P04,SDON,20180605002000,T,-0006 ,U, 1,20180605002600,001933
732Y75M005,HTRWAJN,20180605002000,D,+0003 ,U,  ,20180605001700,001937
216V58C904,BOUTHMJ,20180605001900,D,-0052 ,U,  ,20180605011130,001953
516V301704,MDNHEAD,20180605001900,D,-0001 ,D, 3,20180605002030,002001
796L64C804,PILNING,20180605001900,D,-0006 ,U,  ,20180605002530,002023
735Y42M005,PADTON,20180605001900,D,+0016 ,D,14,20180605000300,002029
346V91C804,SYSTNSJ,20180605002000,D,-0039 ,U,  ,20180605005900,002034
696Z031904,HEYFORD,20180605001900,D,-0031 ,U,  ,20180605005000,002041
494V38C904,STWMRKT,20180605002100,A,-0011 ,D,  ,20180605003230,002048
826A20C704,SDON,20180605002000,D,+0080 ,U, 3,20180604230000,002054
735Y42M005,ROYAOJN,20180605002100,D,+0017 ,D,  ,20180605000400,002140
732Y75M005,HAYESAH,20180605002100,D,+0003 ,U, 4,20180605001830,002148
516V24C904,STOTNHM,20180605002300,A,+0003 , ,  ,20180605002030,002223
735Y42M005,PRTOBJP,20180605002200,D,+0017 ,D,  ,20180605000500,002224
730M721904,OLDOEMU,20180604232500,D,-0034 , ,  ,20180604235900,002242
596O27CZ04,WVCTJN,20180605002200,D,-0009 ,U,  ,20180605003130,002256
730M721904,WMBYEFT,20180605002200,T,-0042 , ,  ,20180605010430,002306
732Y75M005,STHALL,20180605002400,A,+0003 ,U, 4,20180605002130,002322
864M78C704,DIDCTEJ,20180605002300,D,-0011 ,D,  ,20180605003430,002343
516V24C904,STOTNHM,20180605002300,D,+0003 ,U, 1,20180605002030,002443
596O27CZ04,OXFDNNJ,20180605002500,D,-0008 ,U,  ,20180605003330,002447
737D23C904,WANTRD,20180605002400,D,-0006 ,D,  ,20180605003000,002451
494V38C904,STWMRKT,20180605002400,D,-0010 ,D,  ,20180605003430,002503
864M78C704,DIDCTNJ,20180605002500,D,-0011 ,D,  ,20180605003600,002507
334O08CY04,GORASTR,20180605002600,A,+0001 , ,  ,20180605002530,002513
864E48C904,BMLY,20180605002600,A,-0001 , ,  ,20180605002730,002518
864E48C904,BMLY,20180605002500,D,-0002 ,U, 1,20180605002730,002559
732Y75M005,STHALL,20180605002400,D,+0002 ,U, 4,20180605002200,002606
516V301704,TWYFORD,20180605002700,A,-0002 , ,  ,20180605002900,002618
334O08CY04,GORASTR,20180605002500,D,+0000 ,U, 2,20180605002530,002618
516V301704,TWYFORD,20180605002600,D,-0003 ,D, 3,20180605002900,002646
731Y96M904,PADTON,20180605002800,T,+0014 ,U,10,20180605001400,002649
516V24C904,HRGYPJN,20180605002700,D,+0002 ,U,  ,20180605002530,002707
732Y75M005,WEALING,20180605002800,A,+0003 , ,  ,20180605002500,002709
732Y75M005,WEALING,20180605002700,D,+0002 ,U, 4,20180605002500,002740
732Y75M005,EALINGB,20180605002800,A,+0002 ,U, 4,20180605002600,002823
796L64C804,PATCHWY,20180605002900,A,-0010 , ,  ,20180605003900,002846
827A91C804,WTNBSTJ,20180605002800,D,-0017 ,U,  ,20180605004500,002846
596O27CZ04,OXFD,20180605002900,A,-0006 ,U,  ,20180605003500,002854
516V24C904,UPRHLWY,20180605002900,A,+0001 , ,  ,20180605002830,002925
696Z031904,WVCTJN,20180605002900,D,-0030 ,U,  ,20180605005900,002946
346V91C804,LESTER,20180605003100,A,-0034 , ,  ,20180605010530,002953
732Y75M005,EALINGB,20180605002900,D,+0002 ,U, 4,20180605002700,002957
494V38C904,HAGHLYJ,20180605003000,D,-0010 ,D,  ,20180605004030,003004
516V301704,RDNGKBJ,20180605003100,D,-0004 ,D,  ,20180605003530,003035
732Y75M005,ACTONW,20180605003100,D,+0003 ,U,  ,20180605002800,003038
796L64C804,PATCHWY,20180605002900,D,-0010 ,U,  ,20180605003900,003042
596O27CZ04,OXFD,20180605003000,D,-0007 ,U,  ,20180605003700,003052
864M79C804,DIDCTEJ,20180605003100,D,-0014 ,D,  ,20180605004500,003103
