,,,,,,,,
~@# File opened, Actual 03/06/2018 00:00:05 BST,  Log 03/06/2018 00:00:05 BST,,,,,,
~@#Come from file 20180602,,,,,,,,
735Y97M003,ROYAOJN,20180603002500,D,-10,D,  ,20180603003500,2525
735Y97M003,PRTOBJP,20180603002600,D,-10,D,  ,20180603003600,2622
732Y75M003,STHALL,20180603002500,D,0,U,4,20180603002500,2640
746Y401802,BTHMPTJ,20180603002700,D,2,D,  ,20180603002530,2724
732Y75M003,WEALING,20180603002800,A,0, ,  ,20180603002800,2745
735Y97M003,LDBRKJ,20180603002700,D,-10,D,  ,20180603003730,2749
732Y75M003,WEALING,20180603002700,D,-1,U,4,20180603002800,2818
735N922902,MDNHEAD,20180603002900,A,2, ,  ,20180603002700,2837
732Y75M003,EALINGB,20180603002900,A,0,U,4,20180603002900,2904
735Y97M003,OLDOEMU,20180603003400,T,-17,D,  ,20180603005100,2921
735N922902,MDNHEAD,20180603002900,D,2,D,3,20180603002700,2936
746Y401802,BATHSPA,20180603003000,A,2, ,  ,20180603002800,3011
746Y401802,BATHSPA,20180603003000,D,2,D,1,20180603002800,3047
732Y75M003,EALINGB,20180603003000,D,0,U,4,20180603003000,3047
732Y75M003,ACTONW,20180603003100,D,0,U,  ,20180603003100,3130
735Y44M003,PADTON,20180603003100,D,12,D,11,20180603001900,3223
746Q532902,RDNGTRS,20180603000900,D,41, ,  ,20180602232800,3224
735Y44M003,ROYAOJN,20180603003300,D,13,D,  ,20180603002000,3317
735Y44M003,PRTOBJP,20180603003400,D,13,D,  ,20180603002100,3417
735Y44M003,LDBRKJ,20180603003500,D,13,D,  ,20180603002200,3531
735N922902,TWYFORD,20180603003600,A,5, ,  ,20180603003100,3558
745B671003,MDNHEAD,20180603003500,D,-5,D,5,20180603004000,3612
735N922902,TWYFORD,20180603003600,D,5,D,3,20180603003100,3701
732Y75M003,LDBRKJ,20180603003700,D,2,U,R ,20180603003500,3707
735Y44M003,OLDOHST,20180603004200,A,0, ,  ,0,3707
826C971902,BRSTPWY,20180603003700,D,-6,D,  ,20180603004330,3813
732Y75M003,PRTOBJP,20180603003800,D,2,U,  ,20180603003600,3815
732Y75M003,ROYAOJN,20180603003900,D,2,U,  ,20180603003700,3847
732Y75M003,PADTON,20180603004100,T,3,U,13,20180603003800,3938
735N922902,RDNGKBJ,20180603004100,D,6,D,  ,20180603003500,4112
826C971902,FILTNEW,20180603004300,T,-4,D,1,20180603004700,4242
746Y401802,NSMRSTJ,20180603004300,D,4,D,  ,20180603003900,4248
735N922902,RDNGSTN,20180603004300,A,4, ,  ,20180603003930,4249
735N922902,RDNGSTN,20180603004200,D,3,D,12,20180603003930,4313
746Y401802,DRDAYSJ,20180603004500,D,4,U,  ,20180603004100,4526
746Y401802,STPLTNR,20180603004800,A,0, ,  ,0,4708
736J441902,STHALWJ,20180602234200,D,0, ,  ,20180602234200,4720
736J441902,HTRWAJN,20180602235700,T,-1, ,  ,20180602235800,4730
746Y401802,STPLTNR,20180603004700,D,0, ,  ,0,4759
735Y46M003,PADTON,20180603004800,D,3,D,12,20180603004500,4906
735N922902,GORASTR,20180603005100,A,5, ,  ,20180603004600,5000
735Y46M003,ROYAOJN,20180603005000,D,4,D,  ,20180603004600,5020
735Y46M003,PRTOBJP,20180603005100,D,4,D,  ,20180603004700,5049
735N922902,GORASTR,20180603005000,D,4,D,3,20180603004600,5054
735Y46M003,LDBRKJ,20180603005100,D,3,D,  ,20180603004800,5125
746Y401802,FILTNEW,20180603005200,A,5, ,  ,20180603004730,5140
746Y401802,FILTNEW,20180603005100,D,4,U,2,20180603004730,5249
746Y401802,BRSTPWY,20180603005400,T,4,U,  ,20180603005000,5407
735N922902,DIDCOTP,20180603005900,T,2,D,5,20180603005700,5719
735P89M003,RDNGKBJ,20180603010400,D,-5,D,  ,20180603010900,10346
746Q532902,TWYFDW,20180603002000,T,40, ,  ,20180602234000,11213
815C93M702,BRSTLTM,20180602215400,T,2, ,  ,20180602215200,11304
735Y22M403,ACTONW,20180603042800,D,0,D,  ,20180603042800,42747
735Y22M403,EALINGB,20180603042900,A,0, ,  ,0,42833
735Y22M403,EALINGB,20180603042800,D,0, ,  ,0,42909
735Y22M403,STHALL,20180603043200,A,-12, ,  ,20180603044400,43122
735Y22M403,STHALL,20180603043100,D,-13,D,3,20180603044400,43200
735Y22M403,HAYESAH,20180603043300,A,0, ,  ,0,43315
735Y22M403,HAYESAH,20180603043300,D,0, ,  ,0,43350
735Y22M403,HTRWAJN,20180603043300,D,-13,D,  ,20180603044630,43350
735Y22M403,HTRWTJN,20180603043600,D,-12,D,  ,20180603044800,43550
735Y22M403,HTRWAPT,20180603044100,A,-10,D,2,20180603045100,44012
735Y23M403,ACTONW,20180603044000,D,-3,D,  ,20180603044300,44024
735Y23M403,EALINGB,20180603044100,A,0, ,  ,0,44055
735Y23M403,EALINGB,20180603044000,D,0, ,  ,0,44118
735Y23M403,STHALL,20180603044400,A,-3, ,  ,20180603044700,44312
735Y23M403,STHALL,20180603044300,D,-4,D,3,20180603044700,44347
735Y23M403,HAYESAH,20180603044500,A,0, ,  ,0,44452
735Y23M403,HAYESAH,20180603044400,D,0, ,  ,0,44518
735Y23M403,HTRWAJN,20180603044500,D,-4,D,  ,20180603044930,44518
735T24M403,OLDOEMU,20180603044500,D,6,U,  ,20180603043900,44544
735Y23M403,HTRWTJN,20180603044600,D,-4,D,  ,20180603045030,44641
